Date,SPY,RSP,^SPXEW,^SP500EW,NG=F,HO=F,RB=F,CL=F,BZ=F,XHB,ITB,^TNX
2016-03,173.72755432128906,65.80463409423828,3194.72998046875,3194.72998046875,1.9589999914169312,1.1848000288009644,1.4264999628067017,38.34000015258789,39.599998474121094,30.81470489501953,25.088315963745117,1.7860000133514404
2016-04,174.4122772216797,66.62582397460938,3231.169921875,3231.169921875,2.177999973297119,1.3779000043869019,1.5848000049591064,45.91999816894531,48.130001068115234,30.65081024169922,24.634357452392578,1.819000005722046
2016-05,177.3792724609375,67.53081512451172,3271.68994140625,3271.68994140625,,,,,,31.124317169189453,25.560808181762695,1.8339999914169312
2016-06,177.995849609375,67.48796081542969,3263.35009765625,3263.35009765625,2.9240000247955322,1.4846999645233154,1.5013999938964844,48.33000183105469,49.68000030517578,30.58857536315918,25.642480850219727,1.4880000352859497
2016-07,184.48757934570312,70.2849349975586,3397.889892578125,3397.889892578125,2.875999927520752,1.2760000228881836,1.3209999799728394,41.599998474121094,42.459999084472656,32.90507507324219,26.848094940185547,1.4579999446868896
2016-08,184.70851135253906,70.39411163330078,3397.300048828125,3397.300048828125,2.88700008392334,1.4101999998092651,1.4121999740600586,44.70000076293945,47.040000915527344,32.95978546142578,26.931556701660156,1.5679999589920044
2016-09,184.71917724609375,70.46515655517578,3394.60009765625,3394.60009765625,2.9059998989105225,1.527899980545044,1.4874000549316406,48.2400016784668,49.060001373291016,30.999481201171875,25.572885513305664,1.6080000400543213
2016-10,181.51670837402344,68.74547576904297,3310.10009765625,3310.10009765625,3.0260000228881836,1.4954999685287476,1.4494999647140503,46.86000061035156,48.29999923706055,28.880477905273438,23.929912567138672,1.8339999914169312
2016-11,188.2035369873047,72.34500885009766,3474.739990234375,3474.739990234375,3.3519999980926514,1.5708999633789062,1.4908000230789185,49.439998626708984,50.470001220703125,30.917261123657227,25.405803680419922,2.368000030517578
2016-12,192.0187225341797,73.15872955322266,3507.070068359375,3507.070068359375,3.7239999771118164,1.704300045967102,1.6650999784469604,53.720001220703125,56.130001068115234,30.983566284179688,25.53605079650879,2.446000099182129
2017-01,195.45486450195312,74.62802124023438,3578.159912109375,3578.159912109375,,,,,,31.578529357910156,26.874187469482422,2.4509999752044678
