key,P,D,CPI,CAPE,TRCAPE
190005,6.04,0.2475,7.801941983,18.40319701695042,22.172115694151763
190006,5.86,0.255,7.706792893,17.992711584303983,21.66709132606772
190007,5.86,0.2625,7.801941983,17.689545468952808,21.293889709957174
190008,5.94,0.27,7.706792893,18.06961466678419,21.745469843487978
190009,5.8,0.2775,7.801941983,17.341874151224708,20.86922595392475
190010,6.01,0.285,7.706792893,18.102398784556048,21.78469252513005
190011,6.48,0.2925,7.706792893,19.419584603760754,23.36547649184723
190012,6.87,0.3,7.611651901,20.74405116087084,24.951139917086632
190101,7.07,0.3017,7.706792893,20.978581834536186,25.223107928844342
190102,7.25,0.3033,7.611651901,21.679149848206187,26.05325136080883
190103,7.51,0.305,7.611651901,22.347583950683845,26.84086878778499
190104,8.14,0.3067,7.51650281,24.4097169948272,29.29380498925427
190105,7.73,0.3083,7.51650281,23.064012684863545,27.66110204535111
190106,8.5,0.31,7.51650281,25.23846620596033,30.240388110984235
190107,7.93,0.3117,7.611651901,23.14484855370808,27.711150600769958
190108,8.04,0.3133,7.706792893,23.077177713844357,27.6089094728204
190109,8.0,0.315,7.801941983,22.590468316860218,27.007461920877034
190110,7.91,0.3167,7.801941983,22.252901618408902,26.586455006647935
190111,8.08,0.3183,7.897091074,22.37507477765278,26.7132152490284
190112,7.95,0.32,7.992232066,21.68021514102967,25.866784338435302
190201,8.12,0.3208,7.897091074,22.340290796033557,26.635699508412856
190202,8.19,0.3217,7.897091074,22.459957452460387,26.756070389465783
190203,8.2,0.3225,7.897091074,22.410652288217324,26.674136055631255
190204,8.48,0.3233,7.992232066,22.823108698497833,27.13631887951851
190205,8.46,0.3242,8.087381157,22.427954493329793,26.637764485324812
190206,8.41,0.325,8.18251405,21.963742295514617,26.05879162661761
190207,8.6,0.3258,8.18251405,22.385686589401352,26.529400003167872
190208,8.83,0.3267,8.087381157,23.168671834092848,27.424898531949346
190209,8.85,0.3275,8.18251405,22.856566381954487,27.022746801513012
190210,8.57,0.3283,8.753424793,20.604425401859793,24.333335259523263
190211,8.24,0.3292,8.467928926,20.408541255072173,24.081790733787198
190212,8.05,0.33,8.563094215,19.63323212682383,23.14832792923753
190301,8.46,0.3317,8.658259504,20.318132053828485,23.933621799528527
190302,8.41,0.3333,8.658259504,20.107051517552804,23.668501052173472
190303,8.08,0.335,8.372844628,19.884560384872824,23.396709569309298
190304,7.75,0.3367,8.372844628,18.98002260182625,22.32632674182848
190305,7.6,0.3383,8.18251405,18.954858723039862,22.294345532415107
190306,7.18,0.34,8.18251405,17.8185517229685,20.961154591653795
190307,6.85,0.3417,8.18251405,16.918178414766643,19.91040456555084
190308,6.63,0.3433,8.18251405,16.299118790903485,19.19401744926609
190309,6.47,0.345,8.277679339,15.654359115196906,18.449326201499165
190310,6.26,0.3467,8.18251405,15.252943825778832,17.996685085169766
190311,6.28,0.3483,8.087381157,15.407877534297885,18.20173331810417
190312,6.57,0.35,8.087381157,16.04289414005013,18.97207317179524
190401,6.68,0.3467,8.277679339,15.86183391403363,18.77706621361902
190402,6.5,0.3433,8.467928926,15.02149838033143,17.803035506120388
190403,6.48,0.34,8.372844628,15.081930176258854,17.8965473238072
190404,6.64,0.3367,8.277679339,15.565490611691471,18.49032705873975
190405,6.5,0.3333,8.087381157,15.525820896254631,18.46478328377086
190406,6.51,0.33,8.087381157,15.474433638652645,18.424664376078873
190407,6.78,0.3267,8.087381157,16.036401629624102,19.112780970977084
190408,7.01,0.3233,8.18251405,16.304651978851027,19.44975342795369
190409,7.32,0.32,8.277679339,16.74260004916368,19.988235376712076
190410,7.75,0.3167,8.277679339,17.633197370821392,21.065460476613346
190411,8.17,0.3133,8.467928926,18.07620022377006,21.60536546382676
190412,8.25,0.31,8.467928926,18.159679118703192,21.7167982300782
190501,8.43,0.3117,8.467928926,18.459852032455835,22.087689801665377
190502,8.8,0.3133,8.467928926,19.168996375829813,22.944184172180947
190503,9.05,0.315,8.372844628,19.831506074218407,23.74209332467076
190504,8.94,0.3167,8.372844628,19.482927524711275,23.328639790056272
190505,8.5,0.3183,8.277679339,18.62948750984511,22.313429429486135
190506,8.6,0.32,8.277679339,18.735862386183527,22.4452965425369
190507,8.87,0.3217,8.277679339,19.205883309548042,23.009841754484825
190508,9.2,0.3233,8.372844628,19.573308430803714,23.4474985177437
190509,9.23,0.325,8.277679339,19.743492419697777,23.647692425098636
190510,9.36,0.3267,8.277679339,19.89739481432952,23.82564560155492
190511,9.31,0.3283,8.372844628,19.443525693264977,23.275233759234016
190512,9.54,0.33,8.467928926,19.577960809096115,23.42709697236225
190601,9.87,0.3358,8.467928926,20.132402260807893,24.078997473407558
190602,9.8,0.3417,8.467928926,19.866752563675888,23.751613317696677
